Search Key,Name,Description,Account Type,Account Sign,Document Controlled,Summary Level,Default Account,Parent_Value,Element Level,Operands,Show Value Condition,Title Node
R01,Revenue from operations,Revenue from operations,Revenue,Credit,false,true,,R,D,,Algebraic,false
R0101,Income from Sale of Goods/spares and services,Income from Sale of Goods/spares and services,Revenue,Credit,false,true,,R01,C,,Algebraic,false
R010101,Sales Suspense A/C,Sales Suspense A/C,Revenue,Credit,true,false,P_REVENUE_ACCT,R0101,S,,Algebraic,false
R02,Other Income,Other Income,Revenue,Credit,false,true,,R,D,,Algebraic,false
R0201,Interest & others,Interest & others,Revenue,Credit,false,true,,R02,C,,Algebraic,false
R020101,Bank Revaluation Gain,Bank Revaluation Gain,Revenue,Credit,true,false,B_REVALUATIONGAIN_ACCT,R0201,S,,Algebraic,false
TR,Total Income,Total Income,Revenue,Credit,false,true,,,E,R01+R02,Algebraic,false
E,EXPENSES,EXPENSES,Expense,Debit,false,true,,PL,E,,Algebraic,false
E01,Cost of Materials Consumed,Cost of Materials Consumed,Expense,Debit,false,true,,E,D,,Algebraic,false
E0101,Product COGS,Product COGS,Expense,Debit,false,true,,E01,C,,Algebraic,false
E010101,Product COGS a/c,Product COGS a/c,Expense,Debit,true,false,P_COGS_ACCT,E0101,S,,Algebraic,false
E02,Purchases of Stock-in-Trade,Purchases of Stock-in-Trade,Expense,Debit,false,true,,E,D,,Algebraic,false
E0201,Purchase Expenses,Purchase Expenses,Expense,Debit,false,true,,E02,C,,Algebraic,false
E020101,Purchase Expenses,Purchase Expenses,Expense,Debit,true,false,P_EXPENSE_ACCT,E0201,S,,Algebraic,false
E03,Changes in inventories of finished goods work-in-progress and Stock-in-Trade,Changes in inventories of finished goods work-in-progress and Stock-in-Trade,Expense,Debit,false,true,,E,D,,Algebraic,false
E04,Employee Benefit Expenses,Employee Benefit Expenses,Expense,Debit,false,true,,E,D,,Algebraic,false
E0401,"Salaries,Wages & Bonus","Salaries,Wages & Bonus",Expense,Debit,false,true,,E04,C,,Algebraic,false
E040101,Salaries,Salaries,Expense,Debit,true,false,,E0401,S,,Algebraic,false
